名字,tier,entity_type,业界/学界/其他,组织,研究方向,简介,tier_reason,Twitter,活跃情况,备注,source_authority,last_tweet_at,avg_interval_days,arxiv_author_query,openalex_url,scholar_url,github_url,personal_url,arxiv_homepage_url,affiliation_regex,orcid,关联信号,论文链接
xAI,P0+,company,业界,xAI,,,马斯克创立的前沿AI公司，主导Grok系列大模型研发，直接挑战OpenAI与Google的旗舰级机构。,https://x.com/xai,一般,,official,,,,,,,http://x.ai,,,,,
Meta,P0+,company,业界,Meta,,,全球最大社交平台背后的AI研发主体，持续开源LLaMA系列模型，深刻影响整个AI生态的旗舰级机构。,https://x.com/AIatMeta,非常,,official,,,,,,,https://ai.meta.com,,,,,
Reality Labs at Meta,P0+,company,业界,Meta,智能硬件,,Meta旗下XR与智能硬件研究部门，主导AR/VR与AI融合的下一代计算平台探索，战略级旗舰实验室。,https://x.com/RealityLabs,一般,,official,,,"au:""Reality Labs at Meta""",,,,https://www.meta.com/blog,https://arxiv.org/search/?searchtype=author&query=Reality+Labs+at+Meta&start=0,,,,
GoogleAI,P0+,company,业界,Google,,,Google AI官方账号，统筹发布Gemini等核心产品与研究进展，全球最具影响力的AI研发机构之一。,https://x.com/GoogleAI,非常,,official,,,"au:""GoogleAI""",,,,https://ai.google,https://arxiv.org/search/?searchtype=author&query=GoogleAI&start=0,,,,
Google Deepmind,P0+,company,业界,Google,,,汇聚AlphaFold、Gemini、AlphaCode等里程碑成果的世界顶级AI实验室，旗舰级研究机构。,https://x.com/GoogleDeepMind,非常,,official,,,"au:""Google Deepmind""",,,https://github.com/google-deepmind,http://deepmind.google,https://arxiv.org/search/?searchtype=author&query=Google+Deepmind&start=0,,,,
Google AI Developers,P0+,company,业界,Google,,,Google面向开发者的AI技术推广渠道，第一手发布Gemini API、AI Studio等开发者生态动态。,https://x.com/googleaidevs,非常,,official,,,"au:""Google AI Developers""",,,,http://ai.google.dev,https://arxiv.org/search/?searchtype=author&query=Google+AI+Developers&start=0,,,,
Yi Tay,P0+,person,业界,Google,Multimodal,"Working on Reka.AI, co-founder and chief scientist",Reka AI联合创始人兼首席科学家，前Google大脑，在Transformer扩展与多模态LLM领域有系统性贡献。,https://x.com/YiTayML,非常,,founder,,,"au:""Yi Tay""",,https://scholar.google.com/citations?user=VBclY_cAAAAJ&amp;hl=en,,http://yitay.net,https://arxiv.org/search/?searchtype=author&query=Yi+Tay&start=0,,,"x:2060581847021805983,x:2060581847021805983,x:2061814797835043167,x:2061719667941798321,x:2064014980735963509","https://x.com/YiTayML/status/2060581847021805983
https://x.com/YiTayML/status/2060581847021805983
https://x.com/YiTayML/status/2061814797835043167
https://x.com/edchi/status/2061719667941798321
https://x.com/YiTayML/status/2064014980735963509"
TensorFlow,P0+,company,业界,Google,,Google深度学习框架,Google官方深度学习框架，业界最广泛使用的AI开发平台之一，持续发布前沿工具与技术动态。,https://x.com/TensorFlow,一般,,official,,,"au:""TensorFlow""",,,,http://tensorflow.org,https://arxiv.org/search/?searchtype=author&query=TensorFlow&start=0,,,,
NVIDIA AI,P0+,company,业界,NVIDIA,,,NVIDIA官方AI账号，第一时间发布GPU架构、CUDA生态及AI研究进展，是硬件与算法交叉的核心信息源。,https://x.com/NVIDIAAI,非常,,official,,,"au:""NVIDIA AI""",,,https://github.com/nvidia,https://developer.nvidia.com/,https://arxiv.org/search/?searchtype=author&query=NVIDIA+AI&start=0,,,,
NVIDIA AI Developer,P0+,company,业界,NVIDIA,,,NVIDIA面向开发者的官方技术账号，持续输出AI开发工具、模型部署与推理优化实践内容。,https://x.com/NVIDIAAIDev,非常,,official,,,"au:""NVIDIA AI Developer""",,,https://github.com/nvidia,https://developer.nvidia.com/blog,https://arxiv.org/search/?searchtype=author&query=NVIDIA+AI+Developer&start=0,,,,
